id,weights,attention_to_politics,pres_vote,economy,immigration,crime,party_id,age,educ,race,gender,income
140048,0.88788907487435,About half the time,Kamala Harris,Approve strongly,Approve not strongly,Approve not strongly,Independent-Democrat,42,Bachelor’s degree,"White, non-Hispanic",Man,250000
140049,1.01927849625381,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,46,Bachelor’s degree,"Asian or Native Hawaiian/other Pacific Islander, non-Hispanic",Woman,85000
140050,0.513301476011722,Most of the time,Kamala Harris,Approve strongly,Approve not strongly,Approve not strongly,Independent-Democrat,74,Graduate degree,"White, non-Hispanic",Man,162500
140052,0.12641034026224,Most of the time,Kamala Harris,Approve strongly,Approve strongly,Approve strongly,Strong Democrat,NA,Graduate degree,"Black, non-Hispanic",Woman,NA
140053,1.63046435257395,Always,Donald Trump,Disapprove not strongly,Disapprove not strongly,Disapprove strongly,Independent-Democrat,66,High school credential,"Multiple races, non-Hispanic",Man,2500
140054,1.25778113434598,Most of the time,Other,Disapprove strongly,Disapprove strongly,Disapprove strongly,Independent-Republican,NA,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Woman,NA
140055,0.130146816862713,Most of the time,Kamala Harris,Approve strongly,Approve strongly,Approve not strongly,Strong Democrat,69,Graduate degree,"White, non-Hispanic",Woman,57500
140056,0.387688477097122,Always,Kamala Harris,Approve not strongly,Disapprove not strongly,Approve not strongly,Independent-Democrat,50,Graduate degree,"White, non-Hispanic",Man,212500
140057,0.693220919577787,About half the time,Kamala Harris,Disapprove not strongly,Disapprove strongly,Approve not strongly,Independent-Republican,52,High school credential,"White, non-Hispanic",Man,2500
140058,0.7858238917438,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Independent-Republican,59,High school credential,"White, non-Hispanic",Man,95000
140060,0.517914255209755,Some of the time,Other,Approve not strongly,Approve not strongly,Approve not strongly,Not very strong Democrat,42,Graduate degree,"White, non-Hispanic",Woman,162500
140061,0.656869483371959,Most of the time,Kamala Harris,Approve strongly,Approve not strongly,Approve not strongly,Strong Democrat,NA,Graduate degree,"White, non-Hispanic",Man,212500
140062,0.165444474017185,Most of the time,Kamala Harris,Approve not strongly,Approve not strongly,Approve not strongly,Strong Democrat,41,Graduate degree,"White, non-Hispanic",Woman,47500
140063,0.385032614840988,Most of the time,Donald Trump,Disapprove not strongly,Disapprove strongly,Disapprove not strongly,Independent-Democrat,42,Bachelor’s degree,"White, non-Hispanic",Man,250000
140065,1.21522802135557,About half the time,Kamala Harris,Approve strongly,Approve not strongly,Disapprove strongly,Not very strong Democrat,50,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Man,62500
140066,0.543118203984571,Always,Kamala Harris,Approve strongly,Approve strongly,Approve strongly,Strong Democrat,80,Graduate degree,"White, non-Hispanic",Woman,105000
140067,0.590944653291186,Most of the time,Kamala Harris,Approve not strongly,Disapprove not strongly,Disapprove not strongly,Strong Democrat,43,Graduate degree,"White, non-Hispanic",Woman,212500
140068,0.305554676926827,Most of the time,Kamala Harris,Approve not strongly,Approve not strongly,Approve not strongly,Not very strong Democrat,37,Graduate degree,"Black, non-Hispanic",Woman,72500
140070,0.408728533141252,About half the time,Kamala Harris,Disapprove not strongly,Disapprove strongly,Disapprove not strongly,Not very strong Democrat,65,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Woman,77500
140072,1.5763422090512,Most of the time,Kamala Harris,Approve strongly,Disapprove strongly,Approve strongly,Strong Democrat,64,High school credential,"White, non-Hispanic",Woman,52500
140073,0.697291723237355,Always,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,43,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Man,2500
140074,1.64761575711028,Some of the time,NA,Disapprove strongly,Disapprove not strongly,Disapprove not strongly,Independent,25,Bachelor’s degree,"Black, non-Hispanic",Man,117500
140076,0.372065541921453,Always,Kamala Harris,Approve not strongly,Approve not strongly,Approve strongly,Strong Democrat,80,Graduate degree,"White, non-Hispanic",Man,162500
140077,0.340940949554931,About half the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Independent-Republican,74,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Man,42500
140078,1.35782488092332,Most of the time,Kamala Harris,Approve strongly,Approve strongly,Approve strongly,Strong Democrat,74,High school credential,Hispanic,Woman,250000
140079,0.417462074355152,Always,Kamala Harris,Approve not strongly,Approve not strongly,Approve not strongly,Independent-Democrat,76,Bachelor’s degree,"White, non-Hispanic",Man,117500
140080,0.794896132753239,Always,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,NA,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Woman,67500
