id,weights,attention_to_politics,pres_vote,economy,immigration,crime,party_id,age,educ,race,gender,income
141355,0.251543950084543,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Independent-Republican,54,Graduate degree,"White, non-Hispanic",Woman,162500
141356,0.73117572803303,Most of the time,Donald Trump,Disapprove strongly,Approve not strongly,Disapprove strongly,Strong Democrat,57,"Some post-high school, no bachelor’s degree","Black, non-Hispanic",Woman,52500
141357,1.20956811399671,About half the time,Other,Approve not strongly,Approve not strongly,Approve not strongly,Strong Democrat,63,"Some post-high school, no bachelor’s degree",Hispanic,Woman,23750
141358,0.358705077689948,Most of the time,Kamala Harris,Disapprove not strongly,Disapprove not strongly,Approve not strongly,Not very strong Democrat,73,Graduate degree,"White, non-Hispanic",Woman,85000
141359,3.40499661359172,About half the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,43,High school credential,Hispanic,Man,162500
141360,1.34177708382114,About half the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,64,High school credential,"White, non-Hispanic",Woman,85000
141361,0.765802469468805,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Not very strong Republican,51,Bachelor’s degree,"White, non-Hispanic",Woman,137500
141362,0.958124130384473,About half the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,80,High school credential,"White, non-Hispanic",Woman,67500
141363,1.47287200554668,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Not very strong Republican,61,High school credential,"White, non-Hispanic",Man,72500
141366,0.561264000681908,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,80,Bachelor’s degree,"White, non-Hispanic",Woman,2500
141367,0.190729867895834,Most of the time,Kamala Harris,Approve strongly,Approve not strongly,Approve not strongly,Strong Democrat,67,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Woman,52500
141368,0.691339969240814,Most of the time,Kamala Harris,Approve not strongly,Approve not strongly,Approve not strongly,Not very strong Democrat,40,Bachelor’s degree,"White, non-Hispanic",Man,42500
141369,0.405269924978581,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Independent-Republican,35,Bachelor’s degree,"White, non-Hispanic",Man,212500
141370,0.235639354111311,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,80,Bachelor’s degree,"White, non-Hispanic",Man,42500
141371,0.827733568558667,Always,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Independent-Republican,65,High school credential,"White, non-Hispanic",Woman,105000
141373,1.25719919231844,Most of the time,Kamala Harris,Approve strongly,Approve strongly,Approve strongly,Strong Democrat,55,Bachelor’s degree,"White, non-Hispanic",Woman,95000
141374,0.778634126060469,Most of the time,Kamala Harris,Approve strongly,Approve strongly,Approve strongly,Not very strong Democrat,44,Bachelor’s degree,"White, non-Hispanic",Woman,212500
141375,0.736165175003848,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Independent-Republican,52,Bachelor’s degree,"White, non-Hispanic",Man,NA
141376,0.873790410525578,About half the time,Kamala Harris,Approve strongly,Approve strongly,Approve not strongly,Independent-Democrat,49,Bachelor’s degree,"White, non-Hispanic",Man,212500
141377,1.22707195953451,Always,Kamala Harris,Approve not strongly,Approve not strongly,Approve not strongly,Independent-Democrat,54,Bachelor’s degree,"White, non-Hispanic",Man,162500
141378,0.855473595888142,Always,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,66,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Woman,162500
141379,4.35333433498162,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,28,High school credential,"White, non-Hispanic",Man,2500
141380,0.499643257767935,Most of the time,Kamala Harris,Approve strongly,Approve not strongly,Approve strongly,Strong Democrat,71,Graduate degree,"White, non-Hispanic",Woman,105000
141381,1.64367789773871,Always,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,52,High school credential,"White, non-Hispanic",Woman,2500
141382,1.12297979570036,Some of the time,Kamala Harris,Approve not strongly,Approve not strongly,Approve not strongly,Independent-Republican,43,Less than high school credential,"Black, non-Hispanic",Woman,2500
141384,0.570996825483417,Most of the time,Kamala Harris,Approve strongly,Approve strongly,Approve strongly,Strong Democrat,73,Graduate degree,"White, non-Hispanic",Woman,77500
141385,2.89084728276404,Always,Kamala Harris,Approve not strongly,Disapprove not strongly,Disapprove not strongly,Independent-Democrat,29,NA,"Black, non-Hispanic",Woman,52500
141386,0.271344195682005,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove not strongly,Strong Republican,70,Graduate degree,"White, non-Hispanic",Woman,117500
141387,0.548913440893356,Always,Kamala Harris,Approve strongly,Approve not strongly,Approve not strongly,Strong Democrat,65,"Some post-high school, no bachelor’s degree",Hispanic,Man,117500
141388,0.847358487358524,Always,Kamala Harris,Approve strongly,Approve strongly,Approve not strongly,Strong Democrat,66,Bachelor’s degree,"White, non-Hispanic",Man,250000
141389,1.96485801665154,About half the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,42,High school credential,"White, non-Hispanic",Woman,95000
141391,0.605034891426496,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,36,Bachelor’s degree,"White, non-Hispanic",Man,77500
141392,0.168087731742349,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,78,Bachelor’s degree,"White, non-Hispanic",Man,62500
141393,0.35896403333154703,Some of the time,Donald Trump,Disapprove not strongly,Disapprove strongly,Disapprove strongly,Independent,34,"Some post-high school, no bachelor’s degree","Black, non-Hispanic",Man,2500
141395,0.309596277104244,About half the time,Kamala Harris,Approve strongly,Approve not strongly,Approve not strongly,Strong Democrat,45,Graduate degree,"White, non-Hispanic",Woman,117500
141396,0.763757113841806,Some of the time,NA,Disapprove strongly,Disapprove strongly,Disapprove strongly,Not very strong Republican,71,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Woman,77500
141397,0.474213439786226,Always,Kamala Harris,Approve strongly,Approve not strongly,Approve not strongly,Not very strong Democrat,NA,Graduate degree,"White, non-Hispanic",Man,105000
141398,1.13692760377962,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Not very strong Democrat,26,Bachelor’s degree,"White, non-Hispanic",Man,117500
141399,4.99999998289759,Most of the time,Other,Approve not strongly,Disapprove not strongly,Disapprove not strongly,Not very strong Democrat,49,High school credential,"White, non-Hispanic",Man,77500
141400,1.73125971582866,Some of the time,Kamala Harris,Disapprove strongly,Disapprove strongly,Disapprove not strongly,Strong Democrat,56,"Some post-high school, no bachelor’s degree","Black, non-Hispanic",Woman,212500
141401,0.776776031894984,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,43,"Some post-high school, no bachelor’s degree","Asian or Native Hawaiian/other Pacific Islander, non-Hispanic",Man,137500
141402,4.19162759233142,Always,Kamala Harris,Approve not strongly,Disapprove strongly,Approve not strongly,Strong Democrat,48,"Some post-high school, no bachelor’s degree",Hispanic,Woman,137500
141403,0.85238173754848,About half the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Not very strong Republican,41,Bachelor’s degree,"White, non-Hispanic",Woman,162500
141404,1.98342539645005,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,43,High school credential,"White, non-Hispanic",Man,117500
141405,0.723639675985562,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,58,Bachelor’s degree,"White, non-Hispanic",Woman,67500
141406,0.364171514385869,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,77,Less than high school credential,"White, non-Hispanic",Man,37500
141407,0.978611904000316,Always,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,60,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Woman,105000
141408,1.80495335286856,Most of the time,Kamala Harris,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Democrat,NA,High school credential,"White, non-Hispanic",Man,16250
141409,0.601195381817336,Some of the time,NA,Disapprove strongly,Disapprove not strongly,Disapprove not strongly,Not very strong Democrat,33,Less than high school credential,"White, non-Hispanic",Woman,NA
141410,0.539062227193814,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Independent-Republican,NA,Bachelor’s degree,"White, non-Hispanic",Woman,62500
141411,0.474765348624198,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,69,Bachelor’s degree,"White, non-Hispanic",Man,85000
141413,2.55664728615721,Some of the time,Kamala Harris,Approve strongly,Approve strongly,Approve strongly,Strong Democrat,80,High school credential,"White, non-Hispanic",Man,95000
141414,0.293180986079154,Most of the time,NA,NA,Disapprove strongly,Disapprove strongly,Independent-Republican,80,Graduate degree,"White, non-Hispanic",Woman,52500
141415,1.56521422459838,Most of the time,Kamala Harris,Approve strongly,Approve strongly,Approve strongly,Strong Democrat,62,Bachelor’s degree,"Asian or Native Hawaiian/other Pacific Islander, non-Hispanic",Woman,212500
141416,1.9466245590261,Some of the time,Kamala Harris,Disapprove not strongly,Disapprove strongly,Disapprove not strongly,Independent,46,Bachelor’s degree,"Black, non-Hispanic",Woman,42500
141417,0.319661902683526,Most of the time,Kamala Harris,Approve strongly,Approve strongly,Approve strongly,Strong Democrat,61,Graduate degree,Hispanic,Woman,2500
141418,0.443029830194295,Always,Kamala Harris,Approve strongly,Approve strongly,Approve strongly,Strong Democrat,42,Graduate degree,"White, non-Hispanic",Man,250000
141419,0.474644938746817,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Independent-Republican,60,Bachelor’s degree,"White, non-Hispanic",Man,117500
141420,0.575074116346562,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove not strongly,Independent-Republican,51,Graduate degree,"White, non-Hispanic",Man,212500
141421,4.99999998289759,Most of the time,Other,Approve strongly,Disapprove strongly,Approve strongly,Not very strong Democrat,35,Bachelor’s degree,Hispanic,Man,137500
141422,1.47858666088519,About half the time,NA,Approve not strongly,Disapprove strongly,Approve not strongly,Independent-Democrat,31,"Some post-high school, no bachelor’s degree",Hispanic,Woman,85000
141423,0.306721634791349,About half the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,29,Graduate degree,"White, non-Hispanic",Woman,2500
141425,1.56766082091963,Most of the time,Kamala Harris,Approve strongly,Disapprove strongly,Approve strongly,Strong Democrat,53,Less than high school credential,"White, non-Hispanic",Woman,47500
141426,0.31310438338315,About half the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,39,Bachelor’s degree,"White, non-Hispanic",Woman,105000
141427,0.315066561913869,Most of the time,Kamala Harris,Approve strongly,Approve not strongly,Approve strongly,Independent-Democrat,66,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Man,105000
141428,0.84913913061435,About half the time,Kamala Harris,Approve not strongly,Approve not strongly,Approve not strongly,Not very strong Democrat,37,Bachelor’s degree,"White, non-Hispanic",Man,250000
141429,0.924437069599532,Most of the time,Kamala Harris,Approve not strongly,Disapprove not strongly,Approve not strongly,Strong Democrat,53,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Woman,137500
141430,0.744051938741182,Always,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Not very strong Republican,68,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Woman,21250
141431,0.997768023905054,Most of the time,Kamala Harris,Approve not strongly,Disapprove strongly,Approve not strongly,Strong Republican,42,Graduate degree,Hispanic,Man,250000
141432,0.425067536740785,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,56,Bachelor’s degree,"White, non-Hispanic",Woman,162500
141433,0.931428156697648,Most of the time,Kamala Harris,Approve not strongly,Approve not strongly,Approve not strongly,Independent-Democrat,NA,Bachelor’s degree,"White, non-Hispanic",Woman,NA
141434,1.48355806260005,About half the time,Kamala Harris,Approve not strongly,Approve not strongly,Approve not strongly,Not very strong Democrat,34,"Some post-high school, no bachelor’s degree","Multiple races, non-Hispanic",Woman,250000
141435,0.864879463683169,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Approve not strongly,Not very strong Republican,40,Bachelor’s degree,"White, non-Hispanic",Man,162500
141436,2.24288354088193,Some of the time,Kamala Harris,Approve strongly,Approve strongly,Approve strongly,Not very strong Democrat,46,"Some post-high school, no bachelor’s degree",Hispanic,Woman,162500
141437,0.198320530892483,About half the time,Kamala Harris,Approve strongly,Approve strongly,Approve strongly,Independent-Democrat,80,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Woman,57500
141438,0.222437285674423,Some of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,41,Bachelor’s degree,"White, non-Hispanic",Woman,72500
141439,0.539766054187486,About half the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove not strongly,Strong Republican,53,Bachelor’s degree,"White, non-Hispanic",Man,137500
141440,1.05327245741181,Always,Kamala Harris,Approve not strongly,Approve not strongly,Approve not strongly,Independent-Democrat,31,Bachelor’s degree,"White, non-Hispanic",Man,32500
141441,1.40887927802911,About half the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove not strongly,Strong Republican,77,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Woman,26250
141442,0.469424111532406,Some of the time,Kamala Harris,Approve strongly,Disapprove not strongly,Approve not strongly,Independent-Democrat,80,Graduate degree,"White, non-Hispanic",Woman,137500
141443,1.20439034136851,Always,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,39,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Man,162500
141444,0.6144036146683,About half the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove not strongly,Not very strong Republican,63,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Woman,105000
141445,0.604276684751342,About half the time,Kamala Harris,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,66,High school credential,"White, non-Hispanic",Woman,117500
141446,0.830137865849428,Always,Other,Disapprove strongly,Disapprove strongly,Disapprove strongly,Independent,42,"Some post-high school, no bachelor’s degree","Black, non-Hispanic",Woman,11250
141447,0.705103439323544,Some of the time,NA,Disapprove strongly,Disapprove not strongly,Disapprove not strongly,Independent,79,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Woman,2500
141448,1.11245177769982,Always,Kamala Harris,Approve strongly,Approve not strongly,Approve not strongly,Strong Democrat,NA,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Woman,52500
141449,1.55861396499648,About half the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Not very strong Republican,55,High school credential,"White, non-Hispanic",Woman,42500
141451,0.385679086021962,Always,Kamala Harris,Approve strongly,Approve strongly,Approve strongly,Independent-Democrat,77,Bachelor’s degree,"White, non-Hispanic",Woman,117500
141452,0.219930761963841,Always,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,76,Bachelor’s degree,"White, non-Hispanic",Man,32500
141453,0.595613564635588,Always,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,80,High school credential,"White, non-Hispanic",Woman,2500
141454,2.00203595587123,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,45,"Some post-high school, no bachelor’s degree",Hispanic,Woman,162500
141455,0.27709537140366,Some of the time,Kamala Harris,Disapprove strongly,Disapprove not strongly,Disapprove not strongly,Independent-Democrat,28,Graduate degree,"White, non-Hispanic",Woman,212500
141456,0.484178408626795,Always,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,40,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Woman,2500
141457,0.965433455366904,About half the time,Donald Trump,Disapprove strongly,Disapprove strongly,Approve not strongly,Strong Republican,46,Bachelor’s degree,"White, non-Hispanic",Woman,11250
141458,0.708559796088737,About half the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Not very strong Republican,36,Graduate degree,"White, non-Hispanic",Woman,250000
141459,0.537631354402968,Most of the time,Kamala Harris,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Democrat,65,Less than high school credential,Hispanic,Woman,62500
141461,0.707630774913492,Most of the time,Kamala Harris,Approve not strongly,Approve not strongly,Approve strongly,Independent-Democrat,65,Graduate degree,"Asian or Native Hawaiian/other Pacific Islander, non-Hispanic",Man,250000
141462,0.244236769241611,Always,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,66,High school credential,Hispanic,Man,85000
141463,0.247086076074513,About half the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,76,Bachelor’s degree,"White, non-Hispanic",Man,67500
141464,0.540375728102616,Some of the time,Kamala Harris,Approve not strongly,Approve not strongly,Approve not strongly,Independent-Republican,56,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Woman,11250
141465,0.327760532970085,Always,Kamala Harris,Approve strongly,Approve strongly,Approve strongly,Strong Democrat,80,Graduate degree,"White, non-Hispanic",Man,2500
141466,4.99999998289759,Always,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,53,Less than high school credential,"White, non-Hispanic",Man,95000
141467,0.855870542261125,About half the time,Kamala Harris,Approve not strongly,Approve not strongly,Approve not strongly,Strong Democrat,29,Graduate degree,"White, non-Hispanic",Woman,137500
141468,0.296924318559304,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Independent-Republican,80,Bachelor’s degree,"White, non-Hispanic",Man,85000
141469,1.11753725220818,About half the time,Kamala Harris,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Democrat,35,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Woman,212500
141470,0.840382787502375,About half the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,44,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Woman,250000
141471,0.731971346750399,About half the time,NA,Approve not strongly,Disapprove strongly,Disapprove not strongly,Independent-Republican,32,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Man,162500
141472,1.82437129456875,About half the time,Kamala Harris,Disapprove not strongly,Approve strongly,Disapprove not strongly,Independent-Democrat,30,Graduate degree,"White, non-Hispanic",Man,162500
141473,1.09976329381613,About half the time,Kamala Harris,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Democrat,36,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Woman,32500
141474,0.363173618415684,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,80,Bachelor’s degree,"White, non-Hispanic",Man,23750
141475,0.286366464789515,About half the time,Kamala Harris,Approve not strongly,Disapprove not strongly,Approve not strongly,Not very strong Democrat,49,Graduate degree,"White, non-Hispanic",Woman,57500
141476,0.883156305434919,Most of the time,Kamala Harris,Approve not strongly,Approve not strongly,Approve not strongly,Strong Democrat,62,Graduate degree,"Asian or Native Hawaiian/other Pacific Islander, non-Hispanic",Man,212500
141477,1.27955106559411,Always,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,69,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Man,117500
141478,1.3981835344188,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Democrat,60,High school credential,"White, non-Hispanic",Woman,21250
141479,0.252001854223948,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Not very strong Republican,80,Bachelor’s degree,Hispanic,Man,NA
141482,0.767974551229006,Always,Kamala Harris,Approve not strongly,Disapprove not strongly,Disapprove not strongly,Strong Democrat,43,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Man,85000
141483,0.088355260120988,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Independent-Republican,79,"Some post-high school, no bachelor’s degree",Hispanic,Man,67500
141485,0.580357030111005,Some of the time,Donald Trump,Disapprove not strongly,Disapprove strongly,Disapprove strongly,Not very strong Republican,38,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Woman,105000
141486,0.996609115911898,Always,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Independent-Republican,43,Bachelor’s degree,Hispanic,Woman,105000
141487,0.914790003870234,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Independent,27,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Man,85000
141488,0.250988094565814,Most of the time,Kamala Harris,Approve strongly,Approve not strongly,Approve not strongly,Strong Democrat,74,Bachelor’s degree,"White, non-Hispanic",Woman,62500
141489,1.04817355437726,Most of the time,Kamala Harris,Approve not strongly,Approve not strongly,Approve not strongly,Independent-Democrat,60,Graduate degree,"White, non-Hispanic",Woman,85000
141490,0.805477364039869,About half the time,Kamala Harris,Approve not strongly,Approve not strongly,Approve not strongly,Strong Democrat,40,Bachelor’s degree,"White, non-Hispanic",Man,162500
141491,0.739574468760676,Always,Kamala Harris,Approve not strongly,Disapprove not strongly,Approve not strongly,Strong Democrat,50,Graduate degree,"White, non-Hispanic",Woman,212500
141494,1.29938805582179,Some of the time,NA,Disapprove not strongly,Disapprove not strongly,Disapprove not strongly,Not very strong Republican,35,Bachelor’s degree,"White, non-Hispanic",Woman,212500
141495,3.29003967508814,Some of the time,NA,Disapprove not strongly,Disapprove not strongly,Disapprove not strongly,Not very strong Democrat,34,High school credential,"Black, non-Hispanic",Woman,11250
141496,0.584848919482917,Always,Kamala Harris,Approve strongly,Disapprove strongly,Approve not strongly,Independent-Republican,77,Bachelor’s degree,"White, non-Hispanic",Man,52500
141497,0.540712319683007,Some of the time,Kamala Harris,Approve not strongly,Approve not strongly,Approve not strongly,Independent-Democrat,70,High school credential,"White, non-Hispanic",Woman,47500
141498,1.82424692970761,Some of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Not very strong Democrat,39,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Woman,117500
141500,0.537199101252052,Always,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,80,Bachelor’s degree,"White, non-Hispanic",Man,162500
141501,0.502726222906049,Some of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Not very strong Democrat,45,Graduate degree,"White, non-Hispanic",Woman,250000
141502,2.01243213429216,Most of the time,Kamala Harris,Approve not strongly,Approve strongly,Approve strongly,Independent,NA,High school credential,NA,Man,NA
141503,1.67568832167994,Most of the time,Kamala Harris,Approve not strongly,Disapprove strongly,Approve not strongly,Independent-Democrat,58,Bachelor’s degree,"White, non-Hispanic",Woman,137500
141504,0.815305721547059,Some of the time,Kamala Harris,NA,Approve not strongly,Approve not strongly,Not very strong Democrat,26,Bachelor’s degree,"White, non-Hispanic",Woman,18750
141505,4.23057025486847,Some of the time,NA,Disapprove strongly,Disapprove strongly,Disapprove strongly,Not very strong Republican,26,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Man,105000
141506,0.520833483105665,Most of the time,Kamala Harris,Approve not strongly,Approve not strongly,Approve not strongly,Strong Democrat,50,Graduate degree,"White, non-Hispanic",Man,212500
141507,0.630488524474541,Most of the time,Kamala Harris,Approve strongly,Disapprove not strongly,Approve not strongly,Independent-Democrat,45,Bachelor’s degree,"Multiple races, non-Hispanic",Man,250000
141508,0.445732385135677,Most of the time,Donald Trump,Disapprove not strongly,Disapprove strongly,Disapprove strongly,Not very strong Republican,68,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Woman,105000
141509,0.438345709406581,About half the time,Kamala Harris,Approve not strongly,Disapprove strongly,Approve not strongly,Not very strong Democrat,NA,Graduate degree,"White, non-Hispanic",Woman,NA
141510,2.19490409175739,Most of the time,NA,Disapprove strongly,Disapprove strongly,Disapprove strongly,Not very strong Republican,80,Less than high school credential,"White, non-Hispanic",Woman,62500
141511,1.02783413960043,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Independent-Republican,40,Graduate degree,"Multiple races, non-Hispanic",Woman,212500
141513,0.826814055418227,Always,Kamala Harris,Approve strongly,Approve strongly,Approve strongly,Strong Democrat,58,Bachelor’s degree,"White, non-Hispanic",Man,250000
141514,0.616570587747281,About half the time,Kamala Harris,Approve not strongly,Disapprove not strongly,Approve not strongly,Independent-Republican,31,Bachelor’s degree,"White, non-Hispanic",Man,250000
141516,1.25282571878296,Most of the time,Kamala Harris,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Democrat,54,Less than high school credential,Hispanic,Man,52500
141517,0.238872203197844,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Not very strong Republican,77,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Man,37500
141518,1.15443665566751,Most of the time,NA,Approve not strongly,Disapprove strongly,Approve not strongly,Independent,66,Graduate degree,"Asian or Native Hawaiian/other Pacific Islander, non-Hispanic",Man,105000
141519,0.588860879749902,Most of the time,Kamala Harris,Approve not strongly,Approve not strongly,Approve strongly,Independent-Democrat,45,Graduate degree,"Black, non-Hispanic",Woman,52500
141521,0.457819721406541,Some of the time,Kamala Harris,Approve not strongly,Approve strongly,Approve not strongly,Not very strong Democrat,40,Graduate degree,"White, non-Hispanic",Man,250000
141522,0.650090871076516,About half the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,68,Graduate degree,"Multiple races, non-Hispanic",Woman,11250
141523,0.621789672845693,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,57,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Man,117500
141524,0.556464170604661,Some of the time,Donald Trump,Disapprove strongly,Disapprove not strongly,Disapprove not strongly,Strong Republican,44,Graduate degree,"White, non-Hispanic",Woman,212500
141525,0.437525315813013,Most of the time,NA,Disapprove not strongly,Disapprove strongly,Disapprove strongly,Strong Republican,72,Bachelor’s degree,"White, non-Hispanic",Woman,77500
141526,0.208802581239881,Always,Kamala Harris,Approve strongly,Approve strongly,Approve strongly,Independent-Democrat,77,Bachelor’s degree,"White, non-Hispanic",Woman,47500
141527,0.350466436795216,Most of the time,Kamala Harris,Approve strongly,Approve strongly,Approve strongly,Strong Democrat,71,Bachelor’s degree,"White, non-Hispanic",Man,105000
141528,2.41746931932141,About half the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Independent-Republican,44,"Some post-high school, no bachelor’s degree","Multiple races, non-Hispanic",Man,2500
141529,0.606359715355544,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,66,High school credential,"White, non-Hispanic",Man,62500
141530,0.740123004115231,Most of the time,Kamala Harris,Approve strongly,Approve strongly,Approve strongly,Strong Democrat,39,Bachelor’s degree,"White, non-Hispanic",Man,95000
141531,1.06612484197642,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove not strongly,Strong Republican,75,Less than high school credential,"White, non-Hispanic",Man,NA
141532,0.877097114527415,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,60,High school credential,"White, non-Hispanic",Woman,37500
141533,2.11370007424997,Always,Kamala Harris,Approve strongly,Disapprove not strongly,Approve not strongly,Strong Democrat,28,Graduate degree,"Multiple races, non-Hispanic",Man,117500
