YEAR,MONTH,WTMP,ID
2013,8,19.23076923076923,0y2w3
2013,9,17.142857142857146,0y2w3
2013,10,9.545454545454545,0y2w3
2013,11,3.75,0y2w3
2013,12,0.33333333333333337,0y2w3
2014,3,1,0y2w3
2014,6,11.727272727272727,0y2w3
2014,7,13.063636363636364,0y2w3
2014,8,18.982608695652175,0y2w3
2014,9,13.262295081967213,0y2w3
2014,10,9.65217391304348,0y2w3
2014,11,6.5,0y2w3
2014,12,0.75,0y2w3
2015,1,0.2,0y2w3
2015,3,2,0y2w3
2015,4,5.363636363636363,0y2w3
2015,5,9.2,0y2w3
2015,6,13.142857142857142,0y2w3
2015,7,16.625,0y2w3
2015,8,21.333333333333332,0y2w3
2014,7,21.5,18ci3
2014,8,22.15625,18ci3
2014,9,19.73469387755102,18ci3
2014,10,14.072727272727274,18ci3
2014,11,6.709677419354838,18ci3
2014,12,2.8378378378378377,18ci3
2015,1,1.1666666666666667,18ci3
2015,4,8.421052631578947,18ci3
2015,5,13.081818181818186,18ci3
2015,6,17.68181818181818,18ci3
2015,7,21.235294117647058,18ci3
2015,8,23.68888888888889,18ci3
2015,9,22,18ci3
2009,7,20.150068587105622,32st1
2009,8,19.330510752688173,32st1
2010,2,21.366612111292962,32st1
2010,3,21.84771505376344,32st1
2010,4,21.781805555555554,32st1
2010,5,20.944931506849315,32st1
2010,6,19.81650211565585,32st1
2010,7,19.09642857142857,32st1
2022,4,21.094007490636702,32st1
2022,5,20.097826086956523,32st1
2022,6,19.34649572649573,32st1
2022,7,18.450731707317072,32st1
2022,8,17.503011093502376,32st1
2022,9,17.314405360134003,32st1
2022,10,17.565136054421767,32st1
2022,11,18.510782865583458,32st1
2022,12,20.20124826629681,32st1
2023,1,21.842226148409893,32st1
2023,3,23.11430842607313,32st1
2023,4,22.35630397236615,32st1
2023,5,21.228807947019867,32st1
2023,6,20.43322734499205,32st1
2023,7,20.151607963246555,32st1
2023,8,20.01493624772313,32st1
2023,9,19.971929824561403,32st1
2023,10,19.798785425101215,32st1
2023,11,20.159771986970682,32st1
2023,12,20.26033950617284,32st1
2007,6,19.584347826086958,32st2
2007,7,19.076478494623657,32st2
2007,8,18.005779569892475,32st2
2007,9,17.503314121037462,32st2
2007,10,17.54251012145749,32st2
2007,11,17.59730878186969,32st2
2007,12,18.788055555555555,32st2
2008,1,20.50767123287671,32st2
2008,2,22.81882183908046,32st2
2008,3,23.49141274238227,32st2
2008,4,22.84108635097493,32st2
2008,5,21.69592391304348,32st2
2008,6,21.4,32st2
2008,10,18.92972972972973,32st2
2008,11,18.919722222222223,32st2
2008,12,21.218010752688173,32st2
2009,1,21.9877688172043,32st2
2009,2,22.674255952380953,32st2
2009,3,22.44516129032258,32st2
2009,4,22.671388888888888,32st2
2009,5,22.111155913978497,32st2
2009,6,21.1336578581363,32st2
2009,7,20.152126200274346,32st2
2009,9,19.069305555555555,32st2
2009,10,18.861021505376343,32st2
2009,11,18.964166666666667,32st2
2009,12,19.489247311827956,32st2
2010,1,20.680265339966834,32st2
2010,2,21.326488095238094,32st2
2010,3,21.848655913978494,32st2
2010,4,21.783055555555556,32st2
2010,5,20.948971193415638,32st2
2010,6,19.80638888888889,32st2
2010,7,19.08154761904762,32st2
2011,4,20.870149253731345,32st2
