congress,bioname,state_abbrev,district_code,party,nominate_dim1,nominate_dim2
102,"GOSS, Porter J.",FL,13,Republican,0.421,-0.394
102,"JAMES, Craig T.",FL,4,Republican,0.343,-0.489
102,"JOHNSTON, Harry A., II",FL,14,Democrat,-0.372,-0.376
102,"STEARNS, Clifford Bundy",FL,6,Republican,0.554,-0.075
102,"ROS-LEHTINEN, Ileana",FL,18,Republican,0.244,-0.225
102,"PETERSON, Douglas Brian (Pete)",FL,2,Democrat,-0.261,0.417
102,"BACCHUS, James",FL,11,Democrat,-0.236,-0.024
102,"BARNARD, Druie Douglas, Jr.",GA,10,Democrat,-0.028,0.639
102,"JENKINS, Edgar Lanier (Ed)",GA,9,Democrat,-0.116,0.678
102,"GINGRICH, Newton Leroy",GA,6,Republican,0.377,-0.257
102,"HATCHER, Charles Floyd",GA,2,Democrat,-0.202,0.722
102,"RAY, Richard Belmont",GA,3,Democrat,0.035,0.56
102,"ROWLAND, James Roy, Jr.",GA,8,Democrat,-0.127,0.616
102,"THOMAS, Robert Lindsay",GA,1,Democrat,-0.14,0.673
102,"DARDEN, George (Buddy)",GA,7,Democrat,-0.161,0.691
102,"LEWIS, John R.",GA,5,Democrat,-0.589,-0.221
102,"JONES, Ben",GA,4,Democrat,-0.213,-0.073
102,"MINK, Patsy Takemoto",HI,2,Democrat,-0.513,-0.067
102,"ABERCROMBIE, Neil",HI,1,Democrat,-0.432,-0.026
102,"STALLINGS, Richard Howard",ID,2,Democrat,-0.084,0.224
102,"LaROCCO, Larry",ID,1,Democrat,-0.243,0.239
102,"MICHEL, Robert Henry",IL,18,Republican,0.372,-0.157
102,"ROSTENKOWSKI, Daniel David",IL,8,Democrat,-0.39,0.246
102,"YATES, Sidney Richard",IL,9,Democrat,-0.494,-0.494
102,"ANNUNZIO, Frank",IL,11,Democrat,-0.398,0.351
102,"CRANE, Philip Miller",IL,12,Republican,0.739,0.023
102,"COLLINS, Cardiss",IL,7,Democrat,-0.552,-0.218
102,"HYDE, Henry John",IL,6,Republican,0.312,-0.18
102,"RUSSO, Martin Anthony",IL,3,Democrat,-0.192,-0.209
102,"PORTER, John Edward",IL,10,Republican,0.217,-0.604
102,"SAVAGE, Gus",IL,2,Democrat,-0.671,-0.39
102,"DURBIN, Richard Joseph",IL,20,Democrat,-0.345,-0.306
102,"EVANS, Lane Allen",IL,17,Democrat,-0.454,-0.181
102,"LIPINSKI, William Oliver",IL,5,Democrat,-0.176,0.3
102,"HAYES, Charles Arthur",IL,1,Democrat,-0.656,-0.395
102,"BRUCE, Terry Lee",IL,19,Democrat,-0.268,-0.032
102,"FAWELL, Harris W.",IL,13,Republican,0.332,-0.616
102,"HASTERT, John Dennis",IL,14,Republican,0.443,-0.122
102,"COSTELLO, Jerry Francis",IL,21,Democrat,-0.317,0.657
102,"POSHARD, Glenn",IL,22,Democrat,-0.211,0.392
102,"SANGMEISTER, George Edward",IL,4,Democrat,-0.226,0.075
102,"EWING, Thomas W.",IL,15,Republican,0.361,-0.094
102,"COX, John W., Jr.",IL,16,Democrat,-0.313,-0.368
